question_id,subject,topic,difficulty_level,question_text,option_a,option_b,option_c,option_d,correct_option,expected_time_sec
Q00031,Aptitude,Percentages,1,What is 25% of 100?,45,15,25,35,C,20
Q00032,Aptitude,Percentages,1,What is 25% of 320?,80,70,100,90,A,20
Q00033,Aptitude,Mensuration,5,"If the radius of a circle is increased by 15%, the percentage increase in its area is approximately:",27,42,32,37,C,90
Q00034,Aptitude,Ratio & Proportion,2,"If the ratio of boys to girls is 3:2 and total students are 80, how many are boys?",48,46,52,50,A,30
Q00035,Aptitude,Ratio & Proportion,2,"If the ratio of boys to girls is 3:2 and total students are 20, how many are boys?",10,14,16,12,D,30
Q00036,Aptitude,Averages,3,The average of 7 numbers is 19. What is their sum?,143,128,138,133,D,45
Q00037,Aptitude,Ratio & Proportion,2,"If the ratio of boys to girls is 3:2 and total students are 65, how many are boys?",43,37,41,39,D,30
Q00038,Aptitude,Averages,3,The average of 7 numbers is 17. What is their sum?,129,119,114,124,B,45
Q00039,Aptitude,Mensuration,5,"If the radius of a circle is increased by 15%, the percentage increase in its area is approximately:",27,42,32,37,C,90
Q00040,Aptitude,Time & Work,4,A can do a work in 10 days and B in 24 days. How many days will they take together?,6.06,9.06,8.06,7.06,D,60
Q00041,Aptitude,Time & Work,4,A can do a work in 18 days and B in 30 days. How many days will they take together?,10.25,11.25,13.25,12.25,B,60
Q00042,Aptitude,Averages,3,The average of 5 numbers is 30. What is their sum?,160,145,155,150,D,45
Q00043,Aptitude,Ratio & Proportion,2,"If the ratio of boys to girls is 3:2 and total students are 55, how many are boys?",31,35,33,37,C,30
Q00044,Aptitude,Ratio & Proportion,2,"If the ratio of boys to girls is 3:2 and total students are 25, how many are boys?",13,17,19,15,D,30
Q00045,Aptitude,Averages,3,The average of 5 numbers is 23. What is their sum?,125,110,115,120,C,45
Q00046,Aptitude,Mensuration,5,"If the radius of a circle is increased by 5%, the percentage increase in its area is approximately:",5,10,15,20,B,90
Q00047,Aptitude,Time & Work,4,A can do a work in 18 days and B in 18 days. How many days will they take together?,11.0,10.0,8.0,9.0,D,60
Q00048,Aptitude,Time & Work,4,A can do a work in 10 days and B in 27 days. How many days will they take together?,7.3,8.3,9.3,6.3,A,60
Q00049,Aptitude,Mensuration,5,"If the radius of a circle is increased by 5%, the percentage increase in its area is approximately:",15,5,10,20,C,90
Q00050,Aptitude,Percentages,1,What is 25% of 360?,110,100,80,90,D,20
Q00051,Aptitude,Mensuration,5,"If the radius of a circle is increased by 15%, the percentage increase in its area is approximately:",42,27,37,32,D,90
Q00052,Aptitude,Ratio & Proportion,2,"If the ratio of boys to girls is 3:2 and total students are 25, how many are boys?",13,19,17,15,D,30
Q00053,Aptitude,Percentages,1,What is 25% of 260?,75,55,65,85,C,20
Q00054,Aptitude,Ratio & Proportion,2,"If the ratio of boys to girls is 3:2 and total students are 40, how many are boys?",24,26,28,22,A,30
Q00055,Aptitude,Time & Work,4,A can do a work in 12 days and B in 18 days. How many days will they take together?,6.2,8.2,9.2,7.2,D,60
Q00056,Aptitude,Percentages,1,What is 25% of 220?,55,75,45,65,A,20
Q00057,Aptitude,Time & Work,4,A can do a work in 14 days and B in 27 days. How many days will they take together?,8.22,10.22,9.22,11.22,C,60
Q00058,Aptitude,Averages,3,The average of 6 numbers is 15. What is their sum?,90,95,85,100,A,45
Q00059,Aptitude,Averages,3,The average of 6 numbers is 17. What is their sum?,112,102,97,107,B,45
Q00060,Aptitude,Mensuration,5,"If the radius of a circle is increased by 10%, the percentage increase in its area is approximately:",21,31,16,26,A,90
Q00061,Aptitude,Averages,3,The average of 4 numbers is 16. What is their sum?,74,64,59,69,B,45
Q00062,Aptitude,Time & Work,4,A can do a work in 12 days and B in 21 days. How many days will they take together?,6.64,9.64,7.64,8.64,C,60
Q00063,Aptitude,Mensuration,5,"If the radius of a circle is increased by 15%, the percentage increase in its area is approximately:",27,37,32,42,C,90
Q00064,Aptitude,Ratio & Proportion,2,"If the ratio of boys to girls is 3:2 and total students are 100, how many are boys?",64,58,60,62,C,30
Q00065,Aptitude,Mensuration,5,"If the radius of a circle is increased by 5%, the percentage increase in its area is approximately:",10,15,5,20,A,90
Q00066,Aptitude,Ratio & Proportion,2,"If the ratio of boys to girls is 3:2 and total students are 30, how many are boys?",16,20,22,18,D,30
Q00067,Aptitude,Ratio & Proportion,2,"If the ratio of boys to girls is 3:2 and total students are 65, how many are boys?",43,39,41,37,B,30
Q00068,Aptitude,Mensuration,5,"If the radius of a circle is increased by 10%, the percentage increase in its area is approximately:",21,16,31,26,A,90
Q00069,Aptitude,Ratio & Proportion,2,"If the ratio of boys to girls is 3:2 and total students are 50, how many are boys?",34,32,30,28,C,30
Q00070,Aptitude,Time & Work,4,A can do a work in 8 days and B in 30 days. How many days will they take together?,7.32,8.32,5.32,6.32,D,60
Q00071,Aptitude,Ratio & Proportion,2,"If the ratio of boys to girls is 3:2 and total students are 100, how many are boys?",64,58,62,60,D,30
Q00072,Aptitude,Mensuration,5,"If the radius of a circle is increased by 15%, the percentage increase in its area is approximately:",42,32,37,27,B,90
Q00073,Aptitude,Mensuration,5,"If the radius of a circle is increased by 10%, the percentage increase in its area is approximately:",21,16,26,31,A,90
Q00074,Aptitude,Ratio & Proportion,2,"If the ratio of boys to girls is 3:2 and total students are 95, how many are boys?",61,57,55,59,B,30
Q00075,Aptitude,Mensuration,5,"If the radius of a circle is increased by 15%, the percentage increase in its area is approximately:",27,42,32,37,C,90
Q00076,Aptitude,Ratio & Proportion,2,"If the ratio of boys to girls is 3:2 and total students are 35, how many are boys?",23,25,21,19,C,30
Q00077,Aptitude,Mensuration,5,"If the radius of a circle is increased by 5%, the percentage increase in its area is approximately:",5,20,15,10,D,90
Q00078,Aptitude,Percentages,1,What is 25% of 220?,45,75,65,55,D,20
Q00079,Aptitude,Averages,3,The average of 4 numbers is 15. What is their sum?,70,55,65,60,D,45
Q00080,Aptitude,Averages,3,The average of 7 numbers is 24. What is their sum?,168,173,163,178,A,45
Q00081,Aptitude,Time & Work,4,A can do a work in 10 days and B in 24 days. How many days will they take together?,7.06,9.06,6.06,8.06,A,60
Q00082,Aptitude,Ratio & Proportion,2,"If the ratio of boys to girls is 3:2 and total students are 40, how many are boys?",22,28,26,24,D,30
Q00083,Aptitude,Mensuration,5,"If the radius of a circle is increased by 15%, the percentage increase in its area is approximately:",37,42,32,27,C,90
Q00084,Aptitude,Averages,3,The average of 7 numbers is 17. What is their sum?,119,129,124,114,A,45
Q00085,Aptitude,Percentages,1,What is 25% of 320?,70,90,80,100,C,20
Q00086,Aptitude,Averages,3,The average of 6 numbers is 23. What is their sum?,148,133,143,138,D,45
Q00087,Aptitude,Ratio & Proportion,2,"If the ratio of boys to girls is 3:2 and total students are 50, how many are boys?",28,34,30,32,C,30
Q00088,Aptitude,Percentages,1,What is 25% of 320?,70,80,100,90,B,20
Q00089,Aptitude,Ratio & Proportion,2,"If the ratio of boys to girls is 3:2 and total students are 90, how many are boys?",54,56,58,52,A,30
Q00090,Aptitude,Ratio & Proportion,2,"If the ratio of boys to girls is 3:2 and total students are 35, how many are boys?",25,19,21,23,C,30
Q00091,Aptitude,Ratio & Proportion,2,"If the ratio of boys to girls is 3:2 and total students are 30, how many are boys?",18,22,16,20,A,30
Q00092,Aptitude,Averages,3,The average of 6 numbers is 27. What is their sum?,167,162,172,157,B,45
Q00093,Aptitude,Mensuration,5,"If the radius of a circle is increased by 5%, the percentage increase in its area is approximately:",5,20,15,10,D,90
Q00094,Aptitude,Averages,3,The average of 5 numbers is 24. What is their sum?,120,130,125,115,A,45
Q00095,Aptitude,Averages,3,The average of 7 numbers is 17. What is their sum?,129,119,124,114,B,45
Q00096,Aptitude,Time & Work,4,A can do a work in 12 days and B in 30 days. How many days will they take together?,10.57,8.57,7.57,9.57,B,60
Q00097,Aptitude,Mensuration,5,"If the radius of a circle is increased by 15%, the percentage increase in its area is approximately:",27,42,32,37,C,90
Q00098,Aptitude,Percentages,1,What is 25% of 280?,90,70,60,80,B,20
Q00099,Aptitude,Percentages,1,What is 25% of 140?,45,25,55,35,D,20
Q00100,Aptitude,Ratio & Proportion,2,"If the ratio of boys to girls is 3:2 and total students are 45, how many are boys?",31,25,27,29,C,30
Q00101,Aptitude,Ratio & Proportion,2,"If the ratio of boys to girls is 3:2 and total students are 60, how many are boys?",40,34,36,38,C,30
Q00102,Aptitude,Averages,3,The average of 4 numbers is 22. What is their sum?,98,88,93,83,B,45
Q00103,Aptitude,Percentages,1,What is 25% of 280?,60,90,70,80,C,20
Q00104,Aptitude,Ratio & Proportion,2,"If the ratio of boys to girls is 3:2 and total students are 45, how many are boys?",27,25,31,29,A,30
Q00105,Aptitude,Time & Work,4,A can do a work in 16 days and B in 15 days. How many days will they take together?,7.74,6.74,8.74,9.74,A,60
Q00106,Aptitude,Percentages,1,What is 25% of 320?,80,100,70,90,A,20
Q00107,Aptitude,Percentages,1,What is 25% of 220?,45,65,55,75,C,20
Q00108,Aptitude,Percentages,1,What is 25% of 360?,90,110,100,80,A,20
Q00109,Aptitude,Ratio & Proportion,2,"If the ratio of boys to girls is 3:2 and total students are 35, how many are boys?",21,25,23,19,A,30
Q00110,Aptitude,Time & Work,4,A can do a work in 20 days and B in 18 days. How many days will they take together?,10.47,11.47,9.47,8.47,C,60
Q00111,Aptitude,Averages,3,The average of 7 numbers is 29. What is their sum?,198,213,203,208,C,45
Q00112,Aptitude,Averages,3,The average of 5 numbers is 23. What is their sum?,120,115,110,125,B,45
Q00113,Aptitude,Averages,3,The average of 7 numbers is 15. What is their sum?,105,100,110,115,A,45
Q00114,Aptitude,Mensuration,5,"If the radius of a circle is increased by 10%, the percentage increase in its area is approximately:",31,26,16,21,D,90
Q00115,Aptitude,Time & Work,4,A can do a work in 10 days and B in 27 days. How many days will they take together?,7.3,8.3,9.3,6.3,A,60
Q00116,Aptitude,Time & Work,4,A can do a work in 16 days and B in 15 days. How many days will they take together?,7.74,8.74,9.74,6.74,A,60
Q00117,Aptitude,Percentages,1,What is 25% of 180?,35,45,65,55,B,20
Q00118,Aptitude,Averages,3,The average of 5 numbers is 24. What is their sum?,130,115,125,120,D,45
Q00119,Aptitude,Ratio & Proportion,2,"If the ratio of boys to girls is 3:2 and total students are 90, how many are boys?",54,56,58,52,A,30
Q00120,Aptitude,Averages,3,The average of 4 numbers is 23. What is their sum?,102,92,87,97,B,45
Q00121,Aptitude,Time & Work,4,A can do a work in 12 days and B in 15 days. How many days will they take together?,8.67,7.67,6.67,5.67,C,60
Q00122,Aptitude,Averages,3,The average of 5 numbers is 24. What is their sum?,125,130,115,120,D,45
Q00123,Aptitude,Time & Work,4,A can do a work in 20 days and B in 15 days. How many days will they take together?,10.57,7.57,8.57,9.57,C,60
Q00124,Aptitude,Averages,3,The average of 4 numbers is 17. What is their sum?,78,73,68,63,C,45
Q00125,Aptitude,Mensuration,5,"If the radius of a circle is increased by 10%, the percentage increase in its area is approximately:",21,26,31,16,A,90
Q00126,Aptitude,Time & Work,4,A can do a work in 10 days and B in 18 days. How many days will they take together?,7.43,8.43,5.43,6.43,D,60
Q00127,Aptitude,Averages,3,The average of 6 numbers is 16. What is their sum?,106,96,101,91,B,45
Q00128,Aptitude,Time & Work,4,A can do a work in 20 days and B in 12 days. How many days will they take together?,7.5,8.5,9.5,6.5,A,60
Q00129,Aptitude,Percentages,1,What is 25% of 340?,95,85,105,75,B,20
Q00130,Aptitude,Time & Work,4,A can do a work in 14 days and B in 24 days. How many days will they take together?,9.84,10.84,8.84,7.84,C,60
Q00131,Aptitude,Averages,3,The average of 7 numbers is 18. What is their sum?,121,136,126,131,C,45
Q00132,Aptitude,Ratio & Proportion,2,"If the ratio of boys to girls is 3:2 and total students are 35, how many are boys?",25,23,21,19,C,30
Q00133,Aptitude,Mensuration,5,"If the radius of a circle is increased by 5%, the percentage increase in its area is approximately:",10,15,5,20,A,90
Q00134,Aptitude,Percentages,1,What is 25% of 280?,90,70,60,80,B,20
Q00135,Aptitude,Time & Work,4,A can do a work in 12 days and B in 21 days. How many days will they take together?,9.64,6.64,8.64,7.64,D,60
Q00136,Aptitude,Percentages,1,What is 25% of 240?,50,60,80,70,B,20
Q00137,Aptitude,Mensuration,5,"If the radius of a circle is increased by 15%, the percentage increase in its area is approximately:",37,32,27,42,B,90
Q00138,Aptitude,Ratio & Proportion,2,"If the ratio of boys to girls is 3:2 and total students are 25, how many are boys?",17,19,15,13,C,30
Q00139,Aptitude,Mensuration,5,"If the radius of a circle is increased by 10%, the percentage increase in its area is approximately:",21,31,26,16,A,90
Q00140,Aptitude,Ratio & Proportion,2,"If the ratio of boys to girls is 3:2 and total students are 20, how many are boys?",12,10,16,14,A,30
Q00141,Aptitude,Percentages,1,What is 25% of 140?,55,25,35,45,C,20
Q00142,Aptitude,Percentages,1,What is 25% of 360?,110,80,90,100,C,20
Q00143,Aptitude,Averages,3,The average of 5 numbers is 27. What is their sum?,130,145,135,140,C,45
Q00144,Aptitude,Averages,3,The average of 6 numbers is 17. What is their sum?,97,102,112,107,B,45
Q00145,Aptitude,Mensuration,5,"If the radius of a circle is increased by 10%, the percentage increase in its area is approximately:",21,26,31,16,A,90
Q00146,Aptitude,Ratio & Proportion,2,"If the ratio of boys to girls is 3:2 and total students are 40, how many are boys?",28,22,26,24,D,30
Q00147,Aptitude,Ratio & Proportion,2,"If the ratio of boys to girls is 3:2 and total students are 95, how many are boys?",61,55,57,59,C,30
Q00148,Aptitude,Averages,3,The average of 7 numbers is 24. What is their sum?,173,178,168,163,C,45
Q00149,Aptitude,Averages,3,The average of 6 numbers is 16. What is their sum?,96,101,106,91,A,45
Q00150,Aptitude,Percentages,1,What is 25% of 240?,50,70,80,60,D,20
Q00151,Aptitude,Averages,3,The average of 4 numbers is 20. What is their sum?,80,85,90,75,A,45
Q00152,Aptitude,Mensuration,5,"If the radius of a circle is increased by 10%, the percentage increase in its area is approximately:",31,21,26,16,B,90
Q00153,Aptitude,Time & Work,4,A can do a work in 10 days and B in 24 days. How many days will they take together?,9.06,7.06,6.06,8.06,B,60
Q00154,Aptitude,Mensuration,5,"If the radius of a circle is increased by 15%, the percentage increase in its area is approximately:",42,27,37,32,D,90
Q00155,Aptitude,Mensuration,5,"If the radius of a circle is increased by 5%, the percentage increase in its area is approximately:",5,10,20,15,B,90
Q00156,Aptitude,Ratio & Proportion,2,"If the ratio of boys to girls is 3:2 and total students are 55, how many are boys?",35,31,37,33,D,30
Q00157,Aptitude,Mensuration,5,"If the radius of a circle is increased by 15%, the percentage increase in its area is approximately:",42,32,27,37,B,90
Q00158,Aptitude,Mensuration,5,"If the radius of a circle is increased by 10%, the percentage increase in its area is approximately:",21,26,16,31,A,90
Q00159,Aptitude,Mensuration,5,"If the radius of a circle is increased by 5%, the percentage increase in its area is approximately:",20,10,15,5,B,90
Q00160,Aptitude,Time & Work,4,A can do a work in 14 days and B in 24 days. How many days will they take together?,7.84,10.84,8.84,9.84,C,60
Q00161,Aptitude,Averages,3,The average of 7 numbers is 16. What is their sum?,122,117,112,107,C,45
Q00162,Aptitude,Mensuration,5,"If the radius of a circle is increased by 10%, the percentage increase in its area is approximately:",21,31,16,26,A,90
Q00163,Aptitude,Percentages,1,What is 25% of 300?,75,65,95,85,A,20
Q00164,Aptitude,Ratio & Proportion,2,"If the ratio of boys to girls is 3:2 and total students are 80, how many are boys?",50,52,48,46,C,30
Q00165,Aptitude,Averages,3,The average of 5 numbers is 26. What is their sum?,125,135,130,140,C,45
Q00166,Aptitude,Averages,3,The average of 6 numbers is 21. What is their sum?,126,121,131,136,A,45
Q00167,Aptitude,Ratio & Proportion,2,"If the ratio of boys to girls is 3:2 and total students are 25, how many are boys?",15,13,19,17,A,30
Q00168,Aptitude,Time & Work,4,A can do a work in 20 days and B in 24 days. How many days will they take together?,12.91,11.91,9.91,10.91,D,60
Q00169,Aptitude,Mensuration,5,"If the radius of a circle is increased by 15%, the percentage increase in its area is approximately:",27,37,42,32,D,90
Q00170,Aptitude,Ratio & Proportion,2,"If the ratio of boys to girls is 3:2 and total students are 20, how many are boys?",12,10,14,16,A,30
Q00171,Aptitude,Ratio & Proportion,2,"If the ratio of boys to girls is 3:2 and total students are 50, how many are boys?",28,32,34,30,D,30
Q00172,Aptitude,Time & Work,4,A can do a work in 20 days and B in 27 days. How many days will they take together?,10.49,12.49,13.49,11.49,D,60
Q00173,Aptitude,Mensuration,5,"If the radius of a circle is increased by 15%, the percentage increase in its area is approximately:",42,32,27,37,B,90
Q00174,Aptitude,Time & Work,4,A can do a work in 20 days and B in 18 days. How many days will they take together?,11.47,10.47,9.47,8.47,C,60
Q00175,Aptitude,Time & Work,4,A can do a work in 16 days and B in 30 days. How many days will they take together?,12.43,9.43,10.43,11.43,C,60
Q00176,Aptitude,Ratio & Proportion,2,"If the ratio of boys to girls is 3:2 and total students are 50, how many are boys?",34,32,28,30,D,30
Q00177,Aptitude,Time & Work,4,A can do a work in 10 days and B in 27 days. How many days will they take together?,8.3,9.3,7.3,6.3,C,60
Q00178,Aptitude,Time & Work,4,A can do a work in 20 days and B in 24 days. How many days will they take together?,12.91,11.91,9.91,10.91,D,60
Q00179,Aptitude,Averages,3,The average of 7 numbers is 30. What is their sum?,210,220,205,215,A,45
Q00180,Aptitude,Percentages,1,What is 25% of 280?,70,60,80,90,A,20
Q00181,Aptitude,Time & Work,4,A can do a work in 18 days and B in 24 days. How many days will they take together?,10.29,12.29,9.29,11.29,A,60
Q00182,Aptitude,Mensuration,5,"If the radius of a circle is increased by 10%, the percentage increase in its area is approximately:",16,26,21,31,C,90
Q00183,Aptitude,Time & Work,4,A can do a work in 14 days and B in 24 days. How many days will they take together?,10.84,9.84,7.84,8.84,D,60
Q00184,Aptitude,Mensuration,5,"If the radius of a circle is increased by 15%, the percentage increase in its area is approximately:",37,32,42,27,B,90
Q00185,Aptitude,Percentages,1,What is 25% of 200?,50,60,70,40,A,20
Q00186,Aptitude,Averages,3,The average of 7 numbers is 28. What is their sum?,196,206,201,191,A,45
Q00187,Aptitude,Mensuration,5,"If the radius of a circle is increased by 15%, the percentage increase in its area is approximately:",42,27,32,37,C,90
Q00188,Aptitude,Averages,3,The average of 6 numbers is 20. What is their sum?,125,120,115,130,B,45
Q00189,Aptitude,Averages,3,The average of 4 numbers is 29. What is their sum?,126,111,121,116,D,45
Q00190,Aptitude,Percentages,1,What is 25% of 280?,80,70,60,90,B,20
Q00191,Aptitude,Mensuration,5,"If the radius of a circle is increased by 5%, the percentage increase in its area is approximately:",20,5,15,10,D,90
Q00192,Aptitude,Averages,3,The average of 5 numbers is 24. What is their sum?,125,115,120,130,C,45
Q00193,Aptitude,Time & Work,4,A can do a work in 18 days and B in 15 days. How many days will they take together?,8.18,7.18,9.18,10.18,A,60
Q00194,Aptitude,Time & Work,4,A can do a work in 14 days and B in 12 days. How many days will they take together?,7.46,8.46,5.46,6.46,D,60
Q00195,Aptitude,Time & Work,4,A can do a work in 8 days and B in 15 days. How many days will they take together?,5.22,6.22,4.22,7.22,A,60
Q00196,Aptitude,Time & Work,4,A can do a work in 12 days and B in 30 days. How many days will they take together?,7.57,9.57,10.57,8.57,D,60
Q00197,Aptitude,Time & Work,4,A can do a work in 14 days and B in 27 days. How many days will they take together?,8.22,10.22,11.22,9.22,D,60
Q00198,Aptitude,Averages,3,The average of 6 numbers is 20. What is their sum?,125,115,130,120,D,45
Q00199,Aptitude,Mensuration,5,"If the radius of a circle is increased by 10%, the percentage increase in its area is approximately:",26,16,31,21,D,90
Q00200,Aptitude,Percentages,1,What is 25% of 200?,40,70,50,60,C,20
Q00201,Aptitude,Mensuration,5,"If the radius of a circle is increased by 5%, the percentage increase in its area is approximately:",10,20,5,15,A,90
Q00202,Aptitude,Percentages,1,What is 25% of 100?,45,35,25,15,C,20
Q00203,Aptitude,Averages,3,The average of 7 numbers is 17. What is their sum?,129,124,114,119,D,45
Q00204,Aptitude,Mensuration,5,"If the radius of a circle is increased by 10%, the percentage increase in its area is approximately:",31,26,16,21,D,90
Q00205,Aptitude,Ratio & Proportion,2,"If the ratio of boys to girls is 3:2 and total students are 50, how many are boys?",34,28,30,32,C,30
Q00206,Aptitude,Time & Work,4,A can do a work in 20 days and B in 27 days. How many days will they take together?,13.49,10.49,12.49,11.49,D,60
Q00207,Aptitude,Time & Work,4,A can do a work in 8 days and B in 30 days. How many days will they take together?,7.32,5.32,6.32,8.32,C,60
Q00208,Aptitude,Averages,3,The average of 6 numbers is 16. What is their sum?,101,106,91,96,D,45
Q00209,Aptitude,Percentages,1,What is 25% of 240?,80,60,70,50,B,20
Q00210,Aptitude,Averages,3,The average of 6 numbers is 22. What is their sum?,127,132,137,142,B,45
Q00211,Aptitude,Averages,3,The average of 7 numbers is 23. What is their sum?,161,171,166,156,A,45
Q00212,Aptitude,Ratio & Proportion,2,"If the ratio of boys to girls is 3:2 and total students are 60, how many are boys?",38,34,36,40,C,30
Q00213,Aptitude,Mensuration,5,"If the radius of a circle is increased by 15%, the percentage increase in its area is approximately:",42,37,27,32,D,90
Q00214,Aptitude,Averages,3,The average of 4 numbers is 15. What is their sum?,55,60,65,70,B,45
Q00215,Aptitude,Averages,3,The average of 6 numbers is 25. What is their sum?,155,145,150,160,C,45
Q00216,Aptitude,Mensuration,5,"If the radius of a circle is increased by 15%, the percentage increase in its area is approximately:",27,32,42,37,B,90
Q00217,Aptitude,Percentages,1,What is 25% of 140?,55,45,25,35,D,20
Q00218,Aptitude,Averages,3,The average of 7 numbers is 27. What is their sum?,189,194,199,184,A,45
Q00219,Aptitude,Time & Work,4,A can do a work in 10 days and B in 24 days. How many days will they take together?,9.06,8.06,6.06,7.06,D,60
Q00220,Aptitude,Mensuration,5,"If the radius of a circle is increased by 5%, the percentage increase in its area is approximately:",10,20,5,15,A,90
Q00221,Aptitude,Percentages,1,What is 25% of 380?,85,115,105,95,D,20
Q00222,Aptitude,Time & Work,4,A can do a work in 8 days and B in 21 days. How many days will they take together?,5.79,4.79,6.79,7.79,A,60
Q00223,Aptitude,Time & Work,4,A can do a work in 18 days and B in 30 days. How many days will they take together?,11.25,10.25,12.25,13.25,A,60
Q00224,Aptitude,Mensuration,5,"If the radius of a circle is increased by 10%, the percentage increase in its area is approximately:",16,31,21,26,C,90
Q00225,Aptitude,Time & Work,4,A can do a work in 10 days and B in 18 days. How many days will they take together?,5.43,6.43,7.43,8.43,B,60
Q00226,Aptitude,Mensuration,5,"If the radius of a circle is increased by 5%, the percentage increase in its area is approximately:",15,5,20,10,D,90
Q00227,Aptitude,Averages,3,The average of 7 numbers is 18. What is their sum?,131,121,126,136,C,45
Q00228,Aptitude,Mensuration,5,"If the radius of a circle is increased by 15%, the percentage increase in its area is approximately:",37,42,27,32,D,90
Q00229,Aptitude,Time & Work,4,A can do a work in 16 days and B in 21 days. How many days will they take together?,8.08,11.08,10.08,9.08,D,60
Q00230,Aptitude,Averages,3,The average of 6 numbers is 29. What is their sum?,169,184,174,179,C,45
Q00231,Aptitude,Percentages,1,What is 25% of 140?,35,55,25,45,A,20
Q00232,Aptitude,Time & Work,4,A can do a work in 18 days and B in 21 days. How many days will they take together?,11.69,9.69,10.69,8.69,B,60
Q00233,Aptitude,Mensuration,5,"If the radius of a circle is increased by 10%, the percentage increase in its area is approximately:",31,16,26,21,D,90
Q00234,Aptitude,Percentages,1,What is 25% of 380?,115,85,95,105,C,20
Q00235,Aptitude,Averages,3,The average of 4 numbers is 20. What is their sum?,80,85,90,75,A,45
Q00236,Aptitude,Ratio & Proportion,2,"If the ratio of boys to girls is 3:2 and total students are 80, how many are boys?",50,46,52,48,D,30
Q00237,Aptitude,Ratio & Proportion,2,"If the ratio of boys to girls is 3:2 and total students are 35, how many are boys?",21,19,25,23,A,30
Q00238,Aptitude,Ratio & Proportion,2,"If the ratio of boys to girls is 3:2 and total students are 95, how many are boys?",59,57,61,55,B,30
Q00239,Aptitude,Mensuration,5,"If the radius of a circle is increased by 10%, the percentage increase in its area is approximately:",31,26,21,16,C,90
Q00240,Aptitude,Ratio & Proportion,2,"If the ratio of boys to girls is 3:2 and total students are 20, how many are boys?",10,12,14,16,B,30
Q00241,Aptitude,Mensuration,5,"If the radius of a circle is increased by 10%, the percentage increase in its area is approximately:",26,31,21,16,C,90
Q00242,Aptitude,Time & Work,4,A can do a work in 14 days and B in 30 days. How many days will they take together?,8.55,11.55,9.55,10.55,C,60
Q00243,Aptitude,Averages,3,The average of 6 numbers is 15. What is their sum?,95,100,85,90,D,45
