question_id,subject,concept,difficulty,question_text,option_a,option_b,option_c,option_d,correct_option
AVG006,Aptitude,Averages,Easy,The average marks of a student in 5 subjects is 64. What are his total marks?,40,63,30,35,D
AVG007,Aptitude,Averages,Easy,"The average of two numbers is 25. If one number is 30, find the other.",82,92,102,81,A
AVG008,Aptitude,Averages,Easy,The average of 7 consecutive integers is 20. Find the smallest integer.,52,26,42,34,D
AVG009,Aptitude,Averages,Easy,"The average of 10 numbers is 5. If each number is increased by 2, what is the new average?",44,38,72,42,D
AVG010,Aptitude,Averages,Easy,Find the average of the first 20 even numbers.,135,155,145,139,D
AVG011,Aptitude,Averages,Easy,The average age of a family of 5 members is 24 years. What is the total age of the family?,133,139,167,145,B
AVG012,Aptitude,Averages,Easy,"The average of 4 numbers is 14. If three numbers are 10, 12 and 18, find the fourth number.",40,33,45,67,A
AVG013,Aptitude,Averages,Easy,The average weight of 6 persons is 55 kg. What is their total weight?,137,122,147,126,D
AVG014,Aptitude,Averages,Easy,Find the average of numbers from 1 to 9.,88,114,95,87,A
AVG015,Aptitude,Averages,Easy,The average of 3 numbers is 21. What is their sum?,145,151,132,125,C
AVG016,Aptitude,Averages,Easy,The average marks in a test of 8 students is 50. What is the total marks?,40,37,59,48,A
AVG017,Aptitude,Averages,Easy,The average of 15 numbers is 30. What is their sum?,111,92,117,99,D
AVG018,Aptitude,Averages,Easy,The average age of 10 students is 16 years. What is the total age?,68,76,72,101,C
AVG019,Aptitude,Averages,Easy,Find the average of the first 5 multiples of 6.,140,123,125,144,C
AVG020,Aptitude,Averages,Easy,"The average of 2 numbers is 18. If one number is 10, find the other.",70,44,35,47,B
AVG021,Aptitude,Averages,Medium,"The average of 8 numbers is 15. If two numbers 20 and 30 are added, find the new average.",120,144,134,110,A
AVG022,Aptitude,Averages,Medium,"The average age of 10 students is 15 years. If one student aged 25 leaves, what is the new average age?",129,122,139,114,B
AVG023,Aptitude,Averages,Medium,"The average of 5 numbers is 20. If one number is 30, what is the average of the remaining numbers?",132,163,145,136,D
AVG024,Aptitude,Averages,Medium,"The average of 7 numbers is 21. If one number is excluded, the average becomes 20. Find the excluded number.",96,118,114,101,D
AVG025,Aptitude,Averages,Medium,"The average of 9 numbers is 18. If one number is replaced by 27, the average increases by 1. Find the original number.",76,66,52,57,D
AVG026,Aptitude,Averages,Medium,"The average weight of 8 boys is 45 kg. If one boy weighing 50 kg joins, what is the new average?",86,95,69,77,D
AVG027,Aptitude,Averages,Medium,"The average age of a class of 30 students is 14 years. If the teacher's age is included, the average becomes 15. Find the teacher's age.",139,149,128,132,D
AVG028,Aptitude,Averages,Medium,"The average of 12 numbers is 25. If two numbers 20 and 30 are removed, find the new average.",120,110,97,89,C
AVG029,Aptitude,Averages,Medium,"The average speed of a train for a journey is 60 km/h. If it takes 2 hours, find the distance travelled.",157,169,148,141,C
AVG030,Aptitude,Averages,Medium,The average of 4 consecutive even numbers is 18. Find the numbers.,95,99,97,117,C
AVG031,Aptitude,Averages,Medium,"The average of 10 numbers is 50. If each number is increased by 5, what is the new average?",64,33,44,40,D
AVG032,Aptitude,Averages,Medium,"The average marks of 6 students is 70. If one student scores 90, find the average of remaining students.",123,124,136,151,B
AVG033,Aptitude,Averages,Medium,"The average of 3 numbers is 15. If two numbers are 10 and 20, find the third.",33,31,57,38,A
AVG034,Aptitude,Averages,Medium,"The average of 11 numbers is 20. If the first and last numbers are 10 and 30, find the average of the remaining numbers.",79,94,100,76,A
AVG035,Aptitude,Averages,Medium,"The average age of 5 persons is 30 years. If one person aged 40 replaces another aged 20, find the new average.",67,71,97,58,A
AVG036,Aptitude,Averages,Medium,"The average of 7 numbers is 28. If one number is 21, find the average of the remaining numbers.",108,110,138,116,B
AVG037,Aptitude,Averages,Medium,"The average salary of 20 employees is ₹5000. If one employee earns ₹7000, what is the average salary of the remaining employees?",59,48,86,57,D
AVG038,Aptitude,Averages,Medium,The average of 6 consecutive odd numbers is 21. Find the numbers.,124,115,137,149,A
AVG039,Aptitude,Averages,Medium,"The average of 9 numbers is 40. If two numbers 30 and 50 are excluded, find the new average.",78,50,64,40,B
AVG040,Aptitude,Averages,Medium,"The average marks of a student in 4 subjects is 75. If his marks in 3 subjects are 70, 80 and 90, find the marks in the fourth subject.",134,98,108,115,C
AVG041,Aptitude,Averages,Hard,"The average age of 15 boys is 20 years. If the age of the teacher is included, the average becomes 21. Find the age of the teacher.",99,96,125,105,A
AVG042,Aptitude,Averages,Hard,"The average of 10 numbers is 50. If one number is excluded, the average becomes 48. Find the excluded number.",43,56,61,39,A
AVG043,Aptitude,Averages,Hard,"The average marks of a class of 40 students is 60. If the average marks of 15 students is 70, find the average marks of the remaining students.",100,102,104,128,B
AVG044,Aptitude,Averages,Hard,"The average of 7 numbers is 30. If the average of the first four numbers is 28 and the average of the last four numbers is 32, find the fourth number.",93,97,85,123,A
AVG045,Aptitude,Averages,Hard,"The average of 20 numbers is 25. If the average of first 10 numbers is 20, find the average of the remaining numbers.",130,148,127,135,A
AVG046,Aptitude,Averages,Hard,"The average age of a group of 12 people is 30 years. If 3 people aged 40, 45 and 50 join, find the new average age.",37,40,67,50,B
AVG047,Aptitude,Averages,Hard,"The average of 5 numbers is 18. If three numbers are 10, 12 and 14, find the average of the remaining numbers.",95,89,119,102,A
AVG048,Aptitude,Averages,Hard,"The average of 8 numbers is 35. If one number is 55, what is the average of the remaining numbers?",71,53,43,59,B
AVG049,Aptitude,Averages,Hard,"The average marks of 25 students is 68. If the highest and lowest marks are excluded, the average becomes 70. Find the sum of highest and lowest marks.",90,78,69,108,B
AVG050,Aptitude,Averages,Hard,"The average of 6 numbers is 20. If the average of first three numbers is 15 and the average of last three numbers is 25, find the difference between the sums.",147,137,165,143,D
AVG051,Aptitude,Averages,Hard,"The average of 10 observations is 30. If 3 observations are replaced by 20, 25 and 35, the average remains the same. Find the original average of these 3 observations.",164,149,140,172,B
AVG052,Aptitude,Averages,Hard,"The average weight of 30 students is 50 kg. If the average weight of 10 students is 60 kg, find the average weight of the remaining students.",35,57,44,28,A
AVG053,Aptitude,Averages,Hard,"The average of 12 numbers is 40. If one number is added, the average becomes 42. Find the added number.",61,78,52,54,D
AVG054,Aptitude,Averages,Hard,"The average age of 8 people is 25 years. If the average age of 3 people is 30 years, find the average age of the remaining people.",136,119,130,110,B
AVG055,Aptitude,Averages,Hard,"The average of 9 numbers is 27. If the average of first 5 numbers is 25 and the average of last 5 numbers is 29, find the fifth number.",160,143,138,149,B
TW001,Aptitude,Time & Work,Easy,A can do a piece of work in 10 days. How much work can A do in one day?,137,140,154,130,A
TW002,Aptitude,Time & Work,Easy,B can complete a work in 5 days. In how many days will B complete half the work?,53,67,59,75,C
TW003,Aptitude,Time & Work,Easy,A work is completed in 8 days. What part of the work is done in one day?,53,73,45,47,D
TW004,Aptitude,Time & Work,Easy,A can do a work in 20 days. How much work does A do in 5 days?,114,99,80,88,D
TW005,Aptitude,Time & Work,Easy,B completes a work in 4 days. What fraction of work is done in 1 day?,92,64,71,66,D
TW006,Aptitude,Time & Work,Easy,A can finish a job in 6 days. How many days will he take to finish double the work?,127,120,100,109,D
TW007,Aptitude,Time & Work,Easy,"If a work is done in 12 days, what is the daily work rate?",169,133,140,143,C
TW008,Aptitude,Time & Work,Easy,A completes a work in 15 days. How many days will he take to complete one-third of the work?,90,112,100,88,A
TW009,Aptitude,Time & Work,Easy,B can do a job in 9 days. What part of the job is done in one day?,66,72,96,87,B
TW010,Aptitude,Time & Work,Easy,"If a work is completed in 7 days, what fraction is done in 2 days?",68,36,55,43,D
TW011,Aptitude,Time & Work,Easy,A finishes a work in 25 days. How much work does he finish in 1 day?,109,78,91,80,D
TW012,Aptitude,Time & Work,Easy,B completes a work in 10 days. How many days are required to complete one-fifth of the work?,158,136,133,145,B
TW013,Aptitude,Time & Work,Easy,A can do a work in 30 days. What part of the work is done in 3 days?,53,58,51,70,A
TW014,Aptitude,Time & Work,Easy,"If one day’s work is 1/16, in how many days will the work be completed?",33,42,70,52,B
TW015,Aptitude,Time & Work,Easy,A completes a job in 18 days. How many days will he take to complete half the work?,84,63,59,54,C
TW016,Aptitude,Time & Work,Easy,B completes a work in 14 days. What is the work done in one day?,129,116,143,114,B
TW017,Aptitude,Time & Work,Easy,A can complete a task in 40 days. How much work is done in 4 days?,81,49,55,64,C
TW018,Aptitude,Time & Work,Easy,"If a work takes 5 days to complete, what fraction is done per day?",133,147,127,152,A
TW019,Aptitude,Time & Work,Easy,A completes a job in 24 days. How much work is done in 6 days?,76,83,106,90,B
TW020,Aptitude,Time & Work,Easy,"If one day’s work is 1/20, how many days will the work take?",56,65,55,81,A
TW021,Aptitude,Time & Work,Medium,A can do a work in 10 days and B in 15 days. In how many days can they complete the work together?,89,83,68,62,C
TW022,Aptitude,Time & Work,Medium,A can do a job in 12 days and B in 18 days. How long will they take together?,73,48,55,68,C
TW023,Aptitude,Time & Work,Medium,"A alone can do a work in 20 days. With B’s help, it takes 12 days. In how many days can B alone do the work?",38,28,49,67,A
TW024,Aptitude,Time & Work,Medium,"A and B together can do a work in 6 days. If A alone can do it in 10 days, find B’s time.",51,13,26,22,D
TW025,Aptitude,Time & Work,Medium,A can complete a work in 16 days and B in 24 days. How many days will they take together?,125,101,111,99,B
TW026,Aptitude,Time & Work,Medium,A and B together can do a work in 8 days. A alone can do it in 12 days. In how many days can B do it alone?,114,111,132,105,B
TW027,Aptitude,Time & Work,Medium,A can do a work in 15 days and B in 20 days. How much work do they do together in one day?,130,118,114,109,C
TW028,Aptitude,Time & Work,Medium,A and B can together do a work in 4 days. B alone can do it in 12 days. Find A’s time.,124,130,108,113,D
TW029,Aptitude,Time & Work,Medium,A can do a job in 25 days and B in 50 days. How long will they take together?,88,117,103,78,A
TW030,Aptitude,Time & Work,Medium,"A alone can do a work in 30 days. With B, it takes 20 days. Find B’s time.",25,22,18,40,B
TW031,Aptitude,Time & Work,Medium,"A and B together can do a work in 5 days. If A alone does it in 15 days, find B’s time.",71,78,67,100,A
TW032,Aptitude,Time & Work,Medium,A can do a job in 18 days and B in 36 days. How many days will they take together?,12,26,48,20,D
TW033,Aptitude,Time & Work,Medium,"A and B together can do a work in 10 days. If B alone can do it in 20 days, find A’s time.",92,87,119,105,A
TW034,Aptitude,Time & Work,Medium,"A alone can complete a work in 40 days. With B, it takes 24 days. Find B’s time.",131,134,158,137,B
TW035,Aptitude,Time & Work,Medium,A can do a job in 8 days and B in 16 days. How long will they take together?,99,104,102,129,C
TW036,Aptitude,Time & Work,Medium,"A and B together can do a work in 3 days. If A alone can do it in 6 days, find B’s time.",137,131,154,144,A
TW037,Aptitude,Time & Work,Medium,A can do a job in 12 days and B in 24 days. How many days will they take together?,140,125,111,101,C
TW038,Aptitude,Time & Work,Medium,"A alone can do a work in 45 days. With B, it takes 30 days. Find B’s time.",108,101,106,131,C
TW039,Aptitude,Time & Work,Medium,"A and B together can do a work in 7 days. If A alone can do it in 14 days, find B’s time.",149,157,142,167,A
TW040,Aptitude,Time & Work,Medium,A can do a job in 9 days and B in 18 days. How long will they take together?,92,95,70,79,D
TW041,Aptitude,Time & Work,Hard,"A can do a work in 20 days, B in 30 days, and C in 60 days. In how many days will they complete the work together?",113,109,121,137,A
TW042,Aptitude,Time & Work,Hard,A and B together can do a work in 12 days. B and C together can do it in 15 days. A and C together can do it in 20 days. In how many days can A alone do the work?,147,164,143,142,C
TW043,Aptitude,Time & Work,Hard,"A can do a work in 15 days, B in 20 days. After working together for 5 days, A leaves. How many more days will B take to finish the work?",102,123,106,119,C
TW044,Aptitude,Time & Work,Hard,"A can do a work in 12 days and B in 18 days. They work together for 4 days, then B leaves. How many days will A take to finish the remaining work?",165,141,144,136,B
TW045,Aptitude,Time & Work,Hard,"A and B together can do a work in 10 days. After working together for 3 days, B leaves. If A alone can finish the remaining work in 7 days, find B’s time.",139,146,141,165,C
TW046,Aptitude,Time & Work,Hard,"A can do a work in 24 days and B in 36 days. They work together for 6 days, then A leaves. How long will B take to finish the remaining work?",33,42,65,57,B
TW047,Aptitude,Time & Work,Hard,"A and B together can do a work in 8 days. A alone can do it in 12 days. After working together for 2 days, A leaves. How long will B take to finish the rest?",78,104,94,87,D
TW048,Aptitude,Time & Work,Hard,"A can do a job in 10 days and B in 15 days. They work together for 4 days, then A leaves. How many days will B take to finish the remaining work?",104,77,70,81,B
TW049,Aptitude,Time & Work,Hard,"A and B together can do a work in 6 days. B alone can do it in 12 days. After working together for 2 days, find how long A will take to finish the remaining work alone.",46,58,32,39,D
TW050,Aptitude,Time & Work,Hard,A can do a work in 18 days and B in 24 days. They work together for 6 days. Find the remaining work and time taken by B to finish it.,99,127,120,106,D
TW051,Aptitude,Time & Work,Hard,"A can do a job in 16 days and B in 32 days. After working together for 4 days, how many days will A take to complete the remaining work?",85,61,59,73,B
TW052,Aptitude,Time & Work,Hard,"A, B, and C together can do a work in 10 days. A alone can do it in 30 days and B alone in 60 days. In how many days can C alone do it?",123,107,108,131,C
TW053,Aptitude,Time & Work,Hard,"A and B together can do a work in 5 days. A alone can do it in 10 days. After working together for 2 days, find the time taken by B to finish the work alone.",81,70,76,100,C
TW054,Aptitude,Time & Work,Hard,A can do a work in 14 days and B in 21 days. They work together for 7 days. How many days will B take to finish the remaining work?,118,103,101,124,B
TW055,Aptitude,Time & Work,Hard,"A and B together can do a work in 9 days. A alone can do it in 18 days. After working together for 3 days, find the remaining time for B.",82,72,98,73,D
TSD001,Aptitude,Time Speed Distance,Easy,A car travels 60 km in 1 hour. What is its speed?,164,149,134,141,D
TSD002,Aptitude,Time Speed Distance,Easy,A train covers 120 km in 2 hours. Find its speed.,137,162,136,144,A
TSD003,Aptitude,Time Speed Distance,Easy,"If a person walks at 5 km/h, how much distance will he cover in 3 hours?",87,103,79,97,A
TSD004,Aptitude,Time Speed Distance,Easy,A cyclist travels 30 km in 2 hours. Find his speed.,93,96,114,89,A
TSD005,Aptitude,Time Speed Distance,Easy,A bus covers 180 km in 3 hours. What is its speed?,84,109,100,89,D
TSD006,Aptitude,Time Speed Distance,Easy,"If speed is 10 km/h, how much distance is covered in 4 hours?",62,58,51,82,B
TSD007,Aptitude,Time Speed Distance,Easy,A train travels 90 km in 1.5 hours. Find its speed.,139,163,142,146,C
TSD008,Aptitude,Time Speed Distance,Easy,A man covers 20 km in 4 hours. What is his speed?,58,47,50,80,C
TSD009,Aptitude,Time Speed Distance,Easy,A car travels at 50 km/h. How much distance will it cover in 2 hours?,114,89,103,91,D
TSD010,Aptitude,Time Speed Distance,Easy,"If a person walks 12 km in 3 hours, find his speed.",123,140,133,155,C
TSD011,Aptitude,Time Speed Distance,Easy,A bike travels 45 km in 3 hours. Find its speed.,137,118,111,106,C
TSD012,Aptitude,Time Speed Distance,Easy,A train covers 150 km in 5 hours. What is its speed?,75,54,91,62,D
TSD013,Aptitude,Time Speed Distance,Easy,"If speed is 8 km/h, find distance covered in 6 hours.",62,38,47,32,B
TSD014,Aptitude,Time Speed Distance,Easy,A bus covers 210 km in 7 hours. Find speed.,144,117,121,125,C
TSD015,Aptitude,Time Speed Distance,Easy,A man runs 100 m in 20 seconds. Find speed in m/s.,79,56,84,65,D
TSD016,Aptitude,Time Speed Distance,Easy,A train travels 600 m in 30 seconds. Find speed in m/s.,89,92,112,99,B
TSD017,Aptitude,Time Speed Distance,Easy,"If speed is 15 km/h, how long to cover 60 km?",135,144,157,165,B
TSD018,Aptitude,Time Speed Distance,Easy,A car covers 240 km in 6 hours. Find speed.,172,157,149,144,C
TSD019,Aptitude,Time Speed Distance,Easy,A person walks 18 km in 3 hours. What is speed?,15,33,25,44,C
TSD020,Aptitude,Time Speed Distance,Easy,"If a cyclist travels 10 km in 40 minutes, find speed in km/h.",37,54,69,47,D
TSD021,Aptitude,Time Speed Distance,Medium,A car covers a distance at 60 km/h in 4 hours. How long will it take at 80 km/h?,129,120,117,147,B
TSD022,Aptitude,Time Speed Distance,Medium,A train travels at 72 km/h. How much distance will it cover in 2.5 hours?,52,30,22,14,C
TSD023,Aptitude,Time Speed Distance,Medium,A man walks at 5 km/h and returns at 4 km/h. Find average speed.,102,111,134,116,B
TSD024,Aptitude,Time Speed Distance,Medium,A cyclist covers a distance at 12 km/h in 2 hours. What speed is required to cover same distance in 1.5 hours?,67,78,87,60,A
TSD025,Aptitude,Time Speed Distance,Medium,A train covers a distance in 10 hours at 50 km/h. What speed is required to cover same distance in 8 hours?,90,62,76,64,D
TSD026,Aptitude,Time Speed Distance,Medium,A person travels half distance at 40 km/h and remaining at 60 km/h. Find average speed.,61,54,69,86,A
TSD027,Aptitude,Time Speed Distance,Medium,A car increases speed from 40 km/h to 60 km/h. Find average speed.,57,45,64,43,B
TSD028,Aptitude,Time Speed Distance,Medium,A train covers first half distance at 30 km/h and second half at 60 km/h. Find average speed.,84,98,73,67,C
TSD029,Aptitude,Time Speed Distance,Medium,A man runs at 8 km/h for 2 hours and at 6 km/h for 1 hour. Find average speed.,54,59,50,70,A
TSD030,Aptitude,Time Speed Distance,Medium,A car travels at 90 km/h for 2 hours. How long to cover same distance at 60 km/h?,107,129,96,104,D
TSD031,Aptitude,Time Speed Distance,Medium,A train travels at 54 km/h. How much time to cover 162 km?,43,11,20,34,C
TSD032,Aptitude,Time Speed Distance,Medium,A man covers a distance in 3 hours at 10 km/h and returns at 15 km/h. Find average speed.,70,43,55,41,B
TSD033,Aptitude,Time Speed Distance,Medium,A cyclist covers 48 km at 12 km/h. How long will it take at 16 km/h?,141,132,159,143,A
TSD034,Aptitude,Time Speed Distance,Medium,A train covers 300 km in 5 hours. What is its speed?,42,34,56,58,A
TSD035,Aptitude,Time Speed Distance,Medium,"A person walks at 6 km/h and runs at 12 km/h. If he covers equal distances, find average speed.",141,125,129,145,C
TSD036,Aptitude,Time Speed Distance,Medium,A bus travels at 40 km/h for 5 hours. How far does it go?,107,132,110,124,C
TSD037,Aptitude,Time Speed Distance,Medium,A car covers 150 km at 50 km/h and next 150 km at 75 km/h. Find average speed.,163,141,145,153,C
TSD038,Aptitude,Time Speed Distance,Medium,A train travels 120 km at 60 km/h and 180 km at 90 km/h. Find average speed.,98,82,76,85,B
TSD039,Aptitude,Time Speed Distance,Medium,A man walks 4 km at 4 km/h and 6 km at 6 km/h. Find average speed.,113,104,95,96,D
TSD040,Aptitude,Time Speed Distance,Medium,A cyclist travels at 18 km/h. How long will it take to cover 27 km?,144,159,128,136,D
TSD041,Aptitude,Time Speed Distance,Hard,A train passes a pole in 10 seconds and a platform in 25 seconds. Find length of train.,117,150,130,125,D
TSD042,Aptitude,Time Speed Distance,Hard,A train travelling at 54 km/h passes a man standing on platform in 12 seconds. Find length of train.,144,116,114,125,B
TSD043,Aptitude,Time Speed Distance,Hard,Two trains of lengths 120 m and 180 m cross each other in 15 seconds. Find their relative speed.,44,36,34,59,B
TSD044,Aptitude,Time Speed Distance,Hard,A train crosses a 300 m platform in 30 seconds at speed 54 km/h. Find length of train.,117,135,132,108,A
TSD045,Aptitude,Time Speed Distance,Hard,A car travelling at 60 km/h crosses a bridge in 36 seconds. Find length of bridge if car is 4 m long.,29,52,34,22,A
TSD046,Aptitude,Time Speed Distance,Hard,Two trains run in same direction at 54 km/h and 72 km/h. Find time to cross each other if lengths are 100 m each.,82,76,72,101,B
TSD047,Aptitude,Time Speed Distance,Hard,A train crosses a man in 8 seconds and a platform in 20 seconds. Find length of platform.,162,137,132,131,C
TSD048,Aptitude,Time Speed Distance,Hard,A train of length 150 m crosses a bridge of length 250 m in 40 seconds. Find speed of train.,79,119,93,89,D
TSD049,Aptitude,Time Speed Distance,Hard,Two trains of equal length cross each other in 12 seconds at 72 km/h. Find length of each train.,106,107,133,111,B
TSD050,Aptitude,Time Speed Distance,Hard,A train crosses a man walking at 6 km/h in same direction in 10 seconds. Find speed of train.,116,137,114,108,C
TSD051,Aptitude,Time Speed Distance,Hard,A train running at 90 km/h crosses a platform in 20 seconds. Find length of platform if train is 200 m long.,55,83,48,62,A
TSD052,Aptitude,Time Speed Distance,Hard,Two trains run in opposite directions at 36 km/h and 54 km/h. Find time to cross each other if lengths are 120 m and 180 m.,115,94,130,100,D
